Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.81;ИПД-РК с адресом 11.2.81 № 485 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.83;ИПД-РК с адресом 11.2.83 № 487 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.86;ИПД-РК с адресом 11.2.86 4 этаж, 4 секция - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.68;ИПД-РК с адресом 10.2.68 № 774 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.87;ИПД-РК с адресом 11.2.87 № 486 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.88;ИПД-РК с адресом 11.2.88 № 486 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.89;ИПД-РК с адресом 11.2.89 № 488 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.9;ИПД-РК с адресом 11.2.9 № 787 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.95;ИПД-РК с адресом 10.2.95 № 672 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.96;ИПД-РК с адресом 10.2.96 № 674 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;10.2.99;ИПД-РК с адресом 10.2.99 № 672 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.93;ИПД-РК с адресом 11.2.93 № 488 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.94;ИПД-РК с адресом 11.2.94 № 489 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.12;ИПД-РК с адресом 12.1.12 № 692 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.16;ИПД-РК с адресом 12.1.16 № 694 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.70;ИПД-РК с адресом 12.1.70 № 393 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.103;ИПД-РК с адресом 12.2.103 № 689 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.105;ИПД-РК с адресом 12.2.105 № 689 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.112;ИПД-РК с адресом 12.2.112 № 690 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.40;ИПР-РК с адресом 12.2.40 9 этаж, 4 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.123;ИПД-РК с адресом 11.1.123 № 556 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.125;ИПД-РК с адресом 11.1.125 № 560 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.56;ИПД-РК с адресом 12.2.56 8 этаж, 4 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.65;ИПР-РК с адресом 12.2.65 8 этаж, 4 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.78;ИПД-РК с адресом 12.2.78 № 789 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.80;ИПД-РК с адресом 12.2.80 № 789 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.87;ИПД-РК с адресом 12.2.87 № 790 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.139;ИПД-РК с адресом 11.1.139 № 455 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.9;ИПД-РК с адресом 12.2.9 № 1090 - неисправность питания;АО№87;15.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.90;ИПР-РК с адресом 12.2.90 7 этаж, 4 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.107;ИПД-РК с адресом 13.2.107 № 335 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.11;ИПД-РК с адресом 13.2.11 7 этаж, 2 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.16;ИПД-РК с адресом 11.1.16 № 746 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.168;ИПД-РК с адресом 11.1.168 № 358 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.17;ИПД-РК с адресом 11.1.17 № 748 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.123;ИПД-РК с адресом 13.2.123 № 504 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.25;ИПД-РК с адресом 11.1.25 № 647 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.127;ИПД-РК с адресом 13.2.127 № 504 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.29;ИПД-РК с адресом 11.1.29 № 647 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.13;ИПД-РК с адресом 13.2.13 № 732 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.34;ИПД-РК с адресом 11.1.34 № 646 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.38;ИПД-РК с адресом 11.1.38 № 646 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.132;ИПР-РК с адресом 13.2.132 5 этаж, 1 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.40;ИПД-РК с адресом 11.1.40 № 650 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.14;ИПД-РК с адресом 13.2.14 № 734 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.144;ИПД-РК с адресом 13.2.144 4 этаж, 1 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.15;ИПД-РК с адресом 13.2.15 № 736 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.150;ИПД-РК с адресом 13.2.150 № 404 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.17;ИПД-РК с адресом 13.2.17 № 732 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.18;ИПД-РК с адресом 13.2.18 № 734 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.68;ИПД-РК с адресом 11.1.68 № 445 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.181;ИПД-РК с адресом 13.2.181 № 537 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.182;ИПД-РК с адресом 13.2.182 № 539 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.186;ИПД-РК с адресом 13.2.186 5 этаж, 2 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.24;ИПД-РК с адресом 13.2.24 № 629 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.74;ИПД-РК с адресом 11.1.74 № 449 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.25;ИПД-РК с адресом 13.2.25 № 631 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.26;ИПД-РК с адресом 13.2.26 № 633 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.3;ИПД-РК с адресом 13.2.3 № 731 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.30;ИПД-РК с адресом 13.2.30 № 633 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.33;ИПД-РК с адресом 13.2.33 6 этаж, 2 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.1.92;ИПД-РК с адресом 11.1.92 № 349 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.36;ИПД-РК с адресом 13.2.36 № 634 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.39;ИПД-РК с адресом 13.2.39 № 632 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.4;ИПД-РК с адресом 13.2.4 № 733 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.46;ИПД-РК с адресом 13.2.46 № 529 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.14;ИПД-РК с адресом 11.2.14 № 788 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.15;ИПД-РК с адресом 11.2.15 № 788 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.18;ИПД-РК с адресом 11.2.18 № 788 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.19;ИПД-РК с адресом 11.2.19 № 788 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.47;ИПД-РК с адресом 13.2.47 № 531 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.5;ИПД-РК с адресом 13.2.5 № 735 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.233;ИПД-РК с адресом 11.2.233 № 341 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.51;ИПД-РК с адресом 13.2.51 № 531 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.52;ИПД-РК с адресом 13.2.52 № 533 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.55;ИПД-РК с адресом 13.2.55 5 этаж, 2 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.69;ИПД-РК с адресом 13.2.69 № 431 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.7;ИПД-РК с адресом 13.2.7 № 731 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.72;ИПД-РК с адресом 13.2.72 № 429 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.79;ИПД-РК с адресом 13.2.79 № 432 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.8;ИПД-РК с адресом 13.2.8 № 733 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.80;ИПД-РК с адресом 13.2.80 № 434 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;11.2.41;ИПД-РК с адресом 11.2.41 № 686 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.82;ИПД-РК с адресом 13.2.82 № 430 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.83;ИПД-РК с адресом 13.2.83 № 432 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;13.2.90;ИПД-РК с адресом 13.2.90 № 329 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.133;ИПР-РК с адресом 14.1.133 3этаж, 4 секция, лифтовой холл - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.1.135;ИПР-РК с адресом 14.1.135 3 этаж 4 секция - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;14.2.123;ИПД-РК с адресом 14.2.123 1 этаж СК, торговая галлерея, магазин - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;15.2.185;"ИПД-РК с адресом 15.2.185  цоколь СК, ресторан ""Мамины пельмешки"" - неисправность питания";АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.137;ИПР-РК с адресом 16.1.137 2 этаж, 3 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.27;ИПД-РК с адресом 16.1.27 7 этаж, 3 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.32;ИПД-РК с адресом 16.1.32 № 768 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.43;ИПД-РК с адресом 16.1.43 № 663 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.44;ИПД-РК с адресом 16.1.44 № 661 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.46;ИПД-РК с адресом 16.1.46 6 этаж, 2 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.56;ИПД-РК с адресом 16.1.56 № 668 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.63;ИПД-РК с адресом 16.1.63 № 563 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.65;ИПД-РК с адресом 16.1.65 № 563 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.75;ИПД-РК с адресом 16.1.75 № 566 - неисправность питания;АО№87;14.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.8;ИПД-РК с адресом 16.1.8 8 этаж, 3 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.82;ИПД-РК с адресом 16.1.82 № 461 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;16.1.84;ИПД-РК с адресом 16.1.84 № 461 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.1.100;ИПД-РК с адресом 2.1.100 № 1412 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.1.180;ИПД-РК с адресом 2.1.180 № 1109 - неисправность питания;АО№87;15.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.1.186;ИПД-РК с адресом 2.1.186 № 1112 - неисправность питания;АО№87;15.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.3;ИПД-РК с адресом 12.1.3 № 691 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.43;ИПД-РК с адресом 12.1.43 № 491 - неисправность питания;АО№87;10.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.6;ИПД-РК с адресом 12.1.6 № 691 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.1.7;ИПД-РК с адресом 12.1.7 № 691 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.1.70;ИПД-РК с адресом 2.1.70 № 1511 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.1.74;ИПД-РК с адресом 2.1.74 № 1510 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.1.76;ИПД-РК с адресом 2.1.76 № 1514 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.102;ИПД-РК с адресом 2.2.102 № 1021 - неисправность питания;АО№87;15.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.12;ИПД-РК с адресом 2.2.12 № 1522 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.126;ИПД-РК с адресом 2.2.126 9 этаж, 1 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.158;ИПД-РК с адресом 2.2.158 № 721 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.16;ИПД-РК с адресом 2.2.16 № 1522 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.160;ИПД-РК с адресом 2.2.160 № 725 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.167;ИПД-РК с адресом 2.2.167 № 721 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.168;ИПД-РК с адресом 2.2.168 № 724 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.104;ИПД-РК с адресом 12.2.104 № 689 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.17;ИПД-РК с адресом 2.2.17 № 1524 - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.170;ИПД-РК с адресом 2.2.170 № 728 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.110;ИПД-РК с адресом 12.2.110 № 690 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;12.2.111;ИПД-РК с адресом 12.2.111 № 690 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;CR2032 - 1шт-;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.173;ИПД-РК с адресом 2.2.173 № 726 - неисправность питания;АО№87;16.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
Спальный Корпус;2.2.175;ИПД-РК с адресом 2.2.175 7 этаж, 1 секция - неисправность питания;АО№87;13.02.2023;АВР№88;16.02.2023;ER14505 - 1шт, CR2032 - 1шт;Устранено;;;;;;;;;;;;;;;;;;
